run_at,name,params,sharpe_daily,n_obs
2026-09-04T03:43:53,book,"{""alloc"": ""equal"", ""book"": ""v1"", ""buffer"": 0.1, ""cost_scale"": 2.0}",0.006221791646189582,5577
2026-09-04T03:44:02,book,"{""alloc"": ""equal"", ""book"": ""v1"", ""buffer"": 0.1, ""cost_scale"": 4.0}",-0.0044957437184985054,5577
2026-09-04T03:44:12,book,"{""alloc"": ""equal"", ""book"": ""v1"", ""buffer"": 0.1, ""delay"": 1}",0.010610913752226031,5576
2026-09-04T03:44:22,book,"{""alloc"": ""equal"", ""book"": ""v1"", ""buffer"": 0.1, ""delay"": 2}",0.01604569130876969,5575
2026-09-04T03:44:31,book,"{""alloc"": ""equal"", ""book"": ""v1"", ""buffer"": 0.1, ""delay"": 5}",0.0032572178942005857,5572
2026-09-04T03:54:24,EWMAC,"{""buffer"": 0.1, ""speeds"": ""combined"", ""v"": 2}",0.04292646863528193,5340
2026-09-04T03:54:24,EWMAC,"{""buffer"": 0.1, ""speeds"": ""16/64"", ""v"": 2}",0.033197645682490215,5340
2026-09-04T03:54:24,EWMAC,"{""buffer"": 0.1, ""speeds"": ""32/128"", ""v"": 2}",0.0448482822084544,5340
2026-09-04T03:54:24,EWMAC,"{""buffer"": 0.1, ""speeds"": ""64/256"", ""v"": 2}",0.041429869676185664,5340
2026-09-04T03:54:24,EWMAC,"{""buffer"": 0.1, ""speeds"": ""combined"", ""v"": 2, ""window"": ""untouched""}",0.02604012082850242,1170
2026-09-04T03:54:34,book,"{""alloc"": ""equal"", ""book"": ""v1"", ""buffer"": 0.1}",0.01560440468393234,5577
2026-09-04T03:57:42,book,"{""alloc"": ""equal"", ""book"": ""v1+ewmac"", ""buffer"": 0.1}",0.03406034498207634,5577
2026-09-04T04:00:42,book,"{""alloc"": ""equal"", ""book"": ""ewmac-for-trend"", ""buffer"": 0.1}",0.03473508654312209,5340
2026-09-04T04:03:36,book,"{""alloc"": ""equal"", ""book"": ""beta+alpha"", ""buffer"": 0.1}",0.05101291320707524,5849
2026-09-04T04:09:07,TrendETF,"{""alone"": true, ""buffer"": 0.1}",0.028883940264249668,5577
2026-09-04T04:09:07,FXCarryETF,"{""alone"": true, ""buffer"": 0.1}",-0.010054593535747284,5072
2026-09-04T04:09:07,CryptoTrend,"{""alone"": true, ""buffer"": 0.1}",0.005513687328194038,798
2026-09-04T04:09:07,ETFBeta,"{""alone"": true, ""buffer"": 0.1}",0.04172660486885942,5849
2026-09-04T04:09:07,EWMAC,"{""alone"": true, ""buffer"": 0.1}",0.04292646863528193,5340
2026-09-04T04:09:12,TrendETF,"{""buffer"": 0.1, ""lookback"": 3, ""target"": 0.2}",0.013984352104683588,5765
2026-09-04T04:09:16,TrendETF,"{""buffer"": 0.1, ""lookback"": 3, ""target"": 0.4}",0.013984352104683588,5765
2026-09-04T04:09:21,TrendETF,"{""buffer"": 0.1, ""lookback"": 6, ""target"": 0.2}",-0.00036330040790544737,5701
2026-09-04T04:09:25,TrendETF,"{""buffer"": 0.1, ""lookback"": 6, ""target"": 0.4}",-0.00036330040790544737,5701
2026-09-04T04:09:29,TrendETF,"{""buffer"": 0.1, ""lookback"": 9, ""target"": 0.2}",0.03613783145961406,5639
2026-09-04T04:09:33,TrendETF,"{""buffer"": 0.1, ""lookback"": 9, ""target"": 0.4}",0.03613783145961406,5639
2026-09-04T04:09:37,TrendETF,"{""buffer"": 0.1, ""lookback"": 12, ""target"": 0.2}",0.028883940264249668,5577
2026-09-04T04:09:42,TrendETF,"{""buffer"": 0.1, ""lookback"": 12, ""target"": 0.4}",0.028883940264249668,5577
2026-09-04T04:12:45,book,"{""alloc"": ""erc"", ""book"": ""beta+alpha"", ""buffer"": 0.1, ""oos"": ""quarterly refit""}",0.053877253273744964,5577
2026-09-04T04:12:45,book,"{""alloc"": ""equal"", ""book"": ""beta+alpha"", ""buffer"": 0.1, ""oos"": ""quarterly refit""}",0.05483898965690381,5577
2026-09-04T04:15:52,TrendETF,"{""alone"": true, ""buffer"": 0.1, ""kill"": true}",0.028883940264249668,5577
2026-09-04T04:15:52,FXCarryETF,"{""alone"": true, ""buffer"": 0.1, ""kill"": true}",-0.01950972461388718,1050
2026-09-04T04:15:52,CryptoTrend,"{""alone"": true, ""buffer"": 0.1, ""kill"": true}",0.005513687328194038,798
2026-09-04T04:15:52,ETFBeta,"{""alone"": true, ""buffer"": 0.1, ""kill"": true}",0.03694913085630303,3175
2026-09-04T04:15:52,EWMAC,"{""alone"": true, ""buffer"": 0.1, ""kill"": true}",0.04292646863528193,5340
2026-09-04T04:17:22,TrendETF,"{""buffer"": 0.1, ""signs"": ""long_only"", ""v"": 1}",0.03891983513761537,5577
2026-09-04T04:20:22,book,"{""alloc"": ""equal"", ""book"": ""beta+alpha"", ""buffer"": 0.1, ""cost_scale"": 1.0}",0.05101291320707524,5849
2026-09-04T04:23:22,book,"{""alloc"": ""equal"", ""book"": ""beta+alpha"", ""buffer"": 0.1, ""cost_scale"": 2.0}",0.045754382171284205,5849
2026-09-04T04:26:20,book,"{""alloc"": ""equal"", ""book"": ""beta+alpha"", ""buffer"": 0.1, ""cost_scale"": 4.0}",0.03463929646047649,5849
2026-09-04T04:29:20,book,"{""alloc"": ""equal"", ""book"": ""beta+alpha"", ""buffer"": 0.1, ""delay"": 1}",0.05134964825765216,5848
2026-09-04T04:32:24,book,"{""alloc"": ""equal"", ""book"": ""beta+alpha"", ""buffer"": 0.1, ""delay"": 2}",0.052101048957943936,5847
2026-09-04T04:35:22,book,"{""alloc"": ""equal"", ""book"": ""beta+alpha"", ""buffer"": 0.1, ""delay"": 5}",0.04796645186205027,5844
2026-09-04T04:45:03,EWMAC,"{""buffer"": 0.1, ""speeds"": ""combined"", ""v"": 2}",0.04292646863528193,5340
2026-09-04T04:45:03,EWMAC,"{""buffer"": 0.1, ""speeds"": ""16/64"", ""v"": 2}",0.033197645682490215,5340
2026-09-04T04:45:03,EWMAC,"{""buffer"": 0.1, ""speeds"": ""32/128"", ""v"": 2}",0.0448482822084544,5340
2026-09-04T04:45:03,EWMAC,"{""buffer"": 0.1, ""speeds"": ""64/256"", ""v"": 2}",0.041429869676185664,5340
2026-09-04T04:45:04,EWMAC,"{""buffer"": 0.1, ""speeds"": ""combined"", ""v"": 2, ""window"": ""untouched""}",0.02604012082850242,1170
2026-09-04T04:45:13,book,"{""alloc"": ""equal"", ""book"": ""v1"", ""buffer"": 0.1}",0.01560440468393234,5577
2026-09-04T04:48:13,book,"{""alloc"": ""equal"", ""book"": ""v1+ewmac"", ""buffer"": 0.1}",0.03406034498207634,5577
2026-09-04T04:51:08,book,"{""alloc"": ""equal"", ""book"": ""ewmac-for-trend"", ""buffer"": 0.1}",0.03473508654312209,5340
2026-09-04T04:54:08,book,"{""alloc"": ""equal"", ""book"": ""beta+alpha"", ""buffer"": 0.1}",0.05101291320707524,5849
