target,hedge,target_name,hedge_name,n,corr,r2,beta,beta_hac_se,alpha,alpha_hac_se,resid_sd,dw,h_from_beta,h_from_pnl,h_gap_%,eff_train,eff_test
CL=F,RB=F,WTI crude,RBOB gasoline,2256,0.6961564315130282,0.4846337771369531,0.7435962115574719,0.08551552527818382,0.0001941189209597663,0.00042996578103715025,0.02291775779686943,1.9225238960003348,0.6033195546803478,0.5587313233921909,7.980263396985004,0.5821294398846522,0.592554455637983
RB=F,CL=F,RBOB gasoline,WTI crude,2256,0.6961564315130282,0.4846337771369531,0.6517432036425802,0.04861665222375336,0.00019655841683165057,0.0004283224097271407,0.021455655957057534,1.914039639487071,0.8032787490100869,1.0418772234755083,-22.90082450113472,0.5821294398846523,0.5965787956191795
HO=F,RB=F,NY Harbor ULSD,RBOB gasoline,2256,0.6654395276499778,0.44280976495902535,0.567084412627334,0.05142910833420296,0.00013021950375844386,0.0004023171333003087,0.019011863369165747,1.9194959020372013,0.6885870867036606,0.7552960308417306,-8.832158705206878,0.4038014496681581,0.5080624871006842
RB=F,HO=F,RBOB gasoline,NY Harbor ULSD,2256,0.6654395276499778,0.44280976495902535,0.7808533528676318,0.047178479216029204,0.00024761051255005285,0.0004675005617053018,0.0223092807674075,2.006410379294628,0.6430700974640733,0.5346267333328185,20.28393968540029,0.40380144966815823,0.5540183000963497
SI=F,PL=F,Silver,Platinum,2256,0.646793893384465,0.418342340519435,0.6724951258668906,0.026206567344037594,0.00030177607168534464,0.0002677384284452279,0.013618134750974278,2.1878787539774223,1.61216348424968,1.439037539172918,12.030676084813292,0.3929292135471125,0.3993141197901615
PL=F,SI=F,Platinum,Silver,2256,0.646793893384465,0.418342340519435,0.6220749034874625,0.023543206782777843,-0.00015084966613698508,0.000259274036696714,0.013097680648410175,2.1215297504458186,0.25949126413450335,0.2730500093645559,-4.965663711789129,0.3929292135471125,0.4188813964355803
GC=F,PL=F,Gold,Platinum,2256,0.573683228899613,0.32911244712068566,0.3085190756965087,0.012525898999894303,0.0002683257351615059,0.00015177504391461293,0.007564764392764147,2.084570465173793,1.27897429464857,1.036398271025019,23.405676215924057,0.32881902920701767,0.3931854631580336
PL=F,GC=F,Platinum,Gold,2256,0.573683228899613,0.32911244712068577,1.066749102556091,0.042528266671252146,-0.00024370132166139614,0.00029248312162382387,0.014066483418920939,2.031720792379979,0.25732530239094226,0.3172709164034102,-18.89414091023933,0.32881902920701767,0.4365806024199608
ZC=F,ZS=F,Corn,Soybeans,2256,0.5391890641447793,0.29072484689332323,0.6828883625395087,0.03790498442180469,8.0453609356626e-05,0.0002860815140055402,0.013933751596480004,2.0406733355742506,0.24879098635233357,0.2779682122467598,-10.4966052264008,0.27018854053695496,0.33687867580944253
ZS=F,ZC=F,Soybeans,Corn,2256,0.5391890641447793,0.290724846893323,0.4257282197813167,0.03433199781768582,0.00010660052121237426,0.0002215780749713327,0.011001690606343024,2.0332366357855647,1.1685505618825107,0.9720123691593243,20.21972136971556,0.27018854053695485,0.32063282460559583
ZC=F,ZW=F,Corn,SRW wheat,2256,0.5366991706844015,0.28804599981332457,0.4340051909042606,0.0326891448257141,0.00011122536636652187,0.0002849584543735394,0.013960039851250699,1.9796398865419356,0.32567666594527517,0.2823018768228444,15.364683228673734,0.222608897179019,0.3248379036111425
ZW=F,ZC=F,SRW wheat,Corn,2256,0.5366991706844015,0.28804599981332435,0.6636925222326804,0.06813295783422556,9.816312245945177e-05,0.00036790671000064496,0.017263253914721544,1.9052957431591537,0.8844539076119328,0.7885491222529668,12.162182754697135,0.22260889717901877,0.31646730134009105
HG=F,PL=F,Copper,Platinum,2256,0.39454264064101097,0.15566389528398172,0.31974090610208433,0.018757513223823928,0.00021508629274820618,0.0002561138954517864,0.012788588289882954,2.1028324757384835,0.6234947794639653,0.5731569930381553,8.782547720299558,0.16171864117091128,0.2089876020453466
PL=F,HG=F,Platinum,Copper,2256,0.39454264064101097,0.15566389528398183,0.48684385486254506,0.03134465740420784,-5.11817195199602e-05,0.0003334057974233783,0.015780412507964168,2.0290788346911968,0.2496635102828128,0.2821541796318021,-11.515218165964473,0.16171864117091128,0.1861941830661934
ZW=F,ZS=F,SRW wheat,Soybeans,2256,0.3451049324520324,0.11909741440272192,0.5405001307452031,0.04135784970942764,0.0001342285654810597,0.00040404709738115017,0.019202626442468736,1.9583173846901925,0.2624152161638868,0.2614625086778086,0.36437632718202206,0.08558162294173188,0.1576765755618048
ZS=F,ZW=F,Soybeans,SRW wheat,2256,0.3451049324520324,0.11909741440272181,0.22034668934958243,0.023233110432288998,0.00014535782455844213,0.00024460427042400696,0.012260720625900794,2.025224828284288,0.45385102336574024,0.3273189084527275,38.65713579186243,0.08558162294173233,0.14497748626265738
SI=F,HG=F,Silver,Copper,2256,0.3329621627757072,0.11086380184027655,0.4271828998312622,0.03197400465209089,0.00024387192184444566,0.0003533619540770384,0.016837129305651472,2.0866379251545695,0.5251691162530041,0.5345184076118034,-1.7491055921855583,0.11012413546412292,0.09028842010267146
HG=F,SI=F,Copper,Silver,2256,0.3329621627757072,0.11086380184027644,0.2595230330710051,0.0232654959984826,0.00014597509069783123,0.00026119511653090893,0.013123481746948168,2.094042562670252,0.21110114515353004,0.20602496358572767,2.4638672321328468,0.11012413546412303,-0.04558388213958575
BZ=F,HG=F,Brent crude,Copper,2256,0.2864820692597142,0.08207197600732752,0.5436141217031109,0.058948345082717596,0.00036551755067278807,0.000530961505596363,0.025302447092458324,2.016307877181331,0.43169727189505597,0.43294881009539643,-0.28907301998698126,0.09364351875593457,-0.27670227985057094
HG=F,BZ=F,Copper,Brent crude,2256,0.2864820692597142,0.08207197600732763,0.1509746946054326,0.015168163141091642,0.00016085796248797152,0.0002666914087115501,0.01333426986346888,2.0534529979013865,0.19011465059079416,0.2162923573696883,-12.102927305078577,0.09364351875593468,-0.05366236616554598
CL=F,HG=F,WTI crude,Copper,2256,0.27816409608848813,0.07737526435272579,0.6380435117236153,0.08104684360630443,0.0005100976724760015,0.0005929254902807447,0.030663851042492415,2.0548903937426886,0.4712363630180836,0.4462829586637565,5.59138633234879,0.10128043704297163,-0.304707270914474
HG=F,CL=F,Copper,WTI crude,2256,0.27816409608848813,0.07737526435272568,0.12126957320466061,0.019333160211866682,0.00015528794551605403,0.0002688093712039049,0.01336833969956857,2.0378464968533994,0.1641962938877797,0.22694220130255902,-27.648408737838302,0.10128043704297174,-0.05432191737366643
RB=F,HG=F,RBOB gasoline,Copper,2256,0.26930269183563704,0.07252393982992011,0.5783085185050914,0.07324241815306248,0.000490772937255103,0.0005896248854364698,0.028782941509338217,2.057241226652393,0.5264266353836593,0.5422861411512391,-2.924564093397454,0.08019521314965439,-0.3245959270735417
HG=F,RB=F,Copper,RBOB gasoline,2256,0.26930269183563704,0.07252393982992011,0.1254070059652451,0.010560614635402565,0.00015674270675841674,0.0002663196899008137,0.013403440169702836,2.0486815862763685,0.1377664710621351,0.14788357485847772,-6.841262666272796,0.08019521314965417,-0.031738913312465256
HO=F,HG=F,NY Harbor ULSD,Copper,2256,0.24893254415046887,0.06196741153722518,0.4555538151609485,0.05229038197843142,0.00037849652609991616,0.0005196562897671473,0.024667884113442198,1.9703399939220234,0.5035343673597814,0.5004951249373935,0.6072471580553621,0.048353131644605085,-0.19057911510111336
HG=F,HO=F,Copper,NY Harbor ULSD,2256,0.24893254415046887,0.06196741153722518,0.13602654499849134,0.015135630475911464,0.00016928806190585186,0.00027027101499490597,0.013479503292050351,2.0486948308034254,0.12306490987326929,0.09661059465994513,27.382416293409015,0.04835313164460486,-0.04683940346226678
HG=F,ZS=F,Copper,Soybeans,2256,0.23792127566844226,0.05660653341569899,0.2534814316139844,0.02295233020147881,0.00018502038936026168,0.0002719106886816798,0.0135179662540152,2.045868293986751,0.38022215508335616,0.348057448765962,9.241206137502344,0.06006400442188242,0.0068465815273887065
ZS=F,HG=F,Soybeans,Copper,2256,0.23792127566844226,0.05660653341569888,0.2233162920663258,0.020255175760386986,0.00014602637176186963,0.0002558071254709104,0.012688155322146349,1.9941164062623062,0.14887752504398138,0.1725692256690362,-13.728809718652972,0.06006400442188231,-0.3831742348340115
RB=F,PL=F,RBOB gasoline,Platinum,2256,0.21504596568158912,0.04624476735592731,0.37424365758622063,0.0697901501339932,0.0006031551663483355,0.0005989391996749888,0.0291878622338977,2.073046619655361,0.6643047144019463,0.5435271771864247,22.221066817804395,0.03965946542066234,-0.3532898868237082
PL=F,RB=F,Platinum,RBOB gasoline,2256,0.21504596568158912,0.04624476735592731,0.12356860675794624,0.021897318652523833,-1.4062045342320829e-05,0.0003575296815318633,0.016771779275440737,1.9907333382320493,0.06961378769915846,0.07296684891813478,-4.595321394155699,0.03965946542066201,-0.016603724819597376
BZ=F,PL=F,Brent crude,Platinum,2256,0.2141117538494524,0.04584384313648859,0.3292592984246386,0.045567843227067174,0.0004725862215029478,0.0005417492273260598,0.025796924906919937,2.034910270444946,0.5098720935091466,0.4474623255945555,13.947491072385938,0.049241408501592976,-0.3247095804571045
PL=F,BZ=F,Platinum,Brent crude,2256,0.2141117538494524,0.04584384313648859,0.13923325280662138,0.020229524136528967,-5.305299648481799e-06,0.0003586356348188295,0.01677530402989503,1.9983017501177143,0.08991243827637745,0.1100459316572961,-18.29553630716506,0.0492414085015932,-0.027775063803511246
HO=F,PL=F,NY Harbor ULSD,Platinum,2256,0.21043804336913344,0.04428417009702945,0.3120947908189991,0.04425261189249888,0.00046592773030573184,0.0005285709117839336,0.024899310783812436,1.9949911389672623,0.6726831812776818,0.5687002766026436,18.28430703361379,0.030732980123948428,-0.24792153921854498
PL=F,HO=F,Platinum,NY Harbor ULSD,2256,0.21043804336913344,0.04428417009702923,0.1418933330505734,0.020692434305450955,-5.5187366413980915e-06,0.0003602233410179834,0.01678900897011215,1.9995923348013775,0.06583213514111763,0.05404073356099671,21.819469876018182,0.03073298012394854,-0.026751482749549194
CL=F,PL=F,WTI crude,Platinum,2256,0.207186380246893,0.04292619615981019,0.38513650155403306,0.056380015240556004,0.0006358484036888302,0.0006024846448359443,0.031231070036047172,2.0931355755944185,0.5546739884224751,0.4721754759370748,17.472002823034064,0.05581162987195021,-0.37915261477641793
PL=F,CL=F,Platinum,WTI crude,2256,0.207186380246893,0.042926196159810415,0.1114570963453273,0.020069487081611045,-1.0190417966087598e-05,0.00035940280274440213,0.016800932463935807,2.002338037657843,0.0773899570843312,0.1182010348190725,-34.52683624742358,0.05581162987195021,-0.030508701369722058
HO=F,ZS=F,NY Harbor ULSD,Soybeans,2256,0.2026820637705755,0.04108001897429969,0.39517203155975555,0.04649676044008319,0.00040723933082042953,0.000530123388984761,0.024941014810790186,1.9835879400306669,0.6551894517096538,0.6419956865125835,2.0551174212307837,0.039445870244592895,0.013287529065908021
ZS=F,HO=F,Soybeans,NY Harbor ULSD,2256,0.2026820637705755,0.04108001897429947,0.10395477334809244,0.012152644396544492,0.00014809331026374977,0.0002595881929048673,0.012792141018762972,2.0101908891876232,0.06269945107801304,0.06144257831212054,2.045605507483339,0.039445870244592895,-0.04735452589774214
GC=F,HG=F,Gold,Copper,2256,0.2010861951545248,0.04043565788172354,0.1334405643414779,0.016330271562942294,0.00025647981353377046,0.0001871368361959489,0.00904706248016413,2.0415790386096386,0.2836828257394335,0.2960677328262053,-4.183133017755054,0.05450958139393314,0.08836159839714197
HG=F,GC=F,Copper,Gold,2256,0.2010861951545248,0.04043565788172376,0.3030237325604209,0.04062420677374617,0.00014812184043300908,0.00027490640971592693,0.013633330917321234,2.062483006863111,0.142538265319115,0.18411186140953298,-22.580617985249138,0.054509581393932915,0.16396386523114825
