target_name,hedge_name,h_full,h_median,h_iqr,h_cv,sign_flips_%,r2_median,r2_iqr,r2_p05,windows_r2_above_25%
Henry Hub gas,NY Harbor ULSD,0.06588494353926949,0.066878953791247,0.10747532108561092,1.5001875772371813,17.690160502442428,0.018017210711254884,0.04371620171934072,0.00018034694912120533,0.06978367062107467
NY Harbor ULSD,Henry Hub gas,0.1720378082823615,0.19230235425310818,0.33160775755694594,1.9886059611820996,17.690160502442428,0.018017210711254884,0.04371620171934072,0.00018034694912120533,0.06978367062107467
Coffee C,SRW wheat,0.15584527622313746,0.24407994962710958,0.40003850957622367,1.7356258975101477,19.92323796231682,0.019991229402142523,0.04535216119769742,0.00020753781245011314,0.0
SRW wheat,Coffee C,0.05907117585846481,0.04267809980487221,0.09419417351408528,1.7620237851542404,19.92323796231682,0.019991229402142523,0.04535216119769742,0.00020753781245011314,0.0
WTI crude,SRW wheat,0.42498146809475834,0.328137431373575,0.49010061899761065,1.5190527000162404,18.3182135380321,0.018864276366263387,0.04627224368068961,0.00018679365374338875,0.034891835310537335
SRW wheat,WTI crude,0.08559052681071538,0.04277806157584292,0.07817329889186382,1.124653971443881,18.3182135380321,0.018864276366263387,0.04627224368068961,0.00018679365374338875,0.034891835310537335
NY Harbor ULSD,SRW wheat,0.4519011152048079,0.3610598477628504,0.6351550369944811,1.8388433646143771,24.145150034891834,0.017200359430928645,0.038142726083523704,0.00018079633485628896,0.034891835310537335
SRW wheat,NY Harbor ULSD,0.03454769400148778,0.026277243726869952,0.05661092734262947,1.5156651599420685,24.145150034891834,0.017200359430928645,0.038142726083523704,0.00018079633485628896,0.034891835310537335
RBOB gasoline,Coffee C,0.2180871947545415,0.13144490539909626,0.3054177896332146,1.2896217801411127,23.133286810886254,0.011010497547775302,0.02873521695880149,0.00012846749798557525,0.0
Coffee C,RBOB gasoline,0.06214273676604558,0.053960629995495675,0.09393103344505314,1.8323409111229432,23.133286810886254,0.011010497547775302,0.02873521695880149,0.00012846749798557525,0.0
Gold,Coffee C,0.12762987328097217,0.13669473633345375,0.26758144193069433,1.463457635388445,23.58688066992324,0.016777498223266865,0.05215600157639553,7.367552699308891e-05,0.034891835310537335
Coffee C,Gold,0.08293002636502338,0.08408805676067836,0.19373274461485526,1.3376672276218016,23.58688066992324,0.016777498223266865,0.05215600157639553,7.367552699308891e-05,0.034891835310537335
Copper,SRW wheat,0.17150098646043077,0.17641698619795126,0.44617318876157086,1.689655914967972,27.076064200976973,0.010630789074511302,0.02595198954308027,0.00010542688379811641,0.0
SRW wheat,Copper,0.06792307983731023,0.028415214388766333,0.07436290384847735,1.8449131663846823,27.076064200976973,0.010630789074511302,0.02595198954308027,0.00010542688379811641,0.0
WTI crude,Henry Hub gas,0.10371467939878867,0.12012532040020404,0.2748159103389118,1.6888110997209291,19.469644103279833,0.013713781141048537,0.0354258868458662,0.00012707510118794673,0.0
Henry Hub gas,WTI crude,0.10463634521633809,0.06974132164548817,0.11401039333637951,1.5082823283423052,19.469644103279833,0.013713781141048537,0.0354258868458662,0.00012707510118794673,0.0
Silver,Corn,0.4543104451993009,0.28439051401575227,1.1810745414187445,2.9421699151313816,31.856245638520587,0.007463771134955527,0.024820341372935213,6.645478809764247e-05,1.779483600837404
Corn,Silver,0.02482822442494004,0.0075629999847482265,0.02724218277910023,2.3753153739861537,31.856245638520587,0.007463771134955527,0.024820341372935213,6.645478809764247e-05,1.779483600837404
Henry Hub gas,RBOB gasoline,0.07134246899665456,0.051337433801651226,0.09605200992638518,1.3675710403120072,21.109560362875087,0.012783339753317295,0.029457659028872412,0.0003235280025158787,0.0
RBOB gasoline,Henry Hub gas,0.13186189934988843,0.16129639102126034,0.3566312592725582,1.5891652037836144,21.109560362875087,0.012783339753317295,0.029457659028872412,0.0003235280025158787,0.0
