target,hedge,target_name,hedge_name,n,corr,r2,beta,beta_hac_se,alpha,alpha_hac_se,resid_sd,dw,h_from_beta,h_from_pnl,h_gap_%,eff_train,eff_test,rank
RB=F,HO=F,RBOB gasoline,NY Harbor ULSD,2256,0.6654395276499778,0.44280976495902535,0.7808533528676318,0.047178479216029204,0.00024761051255005285,0.0004675005617053018,0.0223092807674075,2.006410379294628,0.6430700974640733,0.5346267333328185,20.28393968540029,0.40380144966815823,0.5540183000963497,3
GC=F,SI=F,Gold,Silver,2256,0.780891680306354,0.609791816371681,0.4039033297474477,0.013632487215727025,0.00014877662031806903,0.00011505845224322098,0.005769241592174946,2.0761943020607627,0.6984531634985937,0.6106300250698453,14.382381282136087,0.6015750567719732,0.39212706395520747,1
GC=F,PL=F,Gold,Platinum,2256,0.573683228899613,0.32911244712068566,0.3085190756965087,0.012525898999894303,0.0002683257351615059,0.00015177504391461293,0.007564764392764147,2.084570465173793,1.27897429464857,1.036398271025019,23.405676215924057,0.32881902920701767,0.3931854631580336,2
GC=F,HG=F,Gold,Copper,2256,0.2010861951545248,0.04043565788172354,0.1334405643414779,0.016330271562942294,0.00025647981353377046,0.0001871368361959489,0.00904706248016413,2.0415790386096386,0.2836828257394335,0.2960677328262053,-4.183133017755054,0.05450958139393314,0.08836159839714197,3
SI=F,GC=F,Silver,Gold,2256,0.780891680306354,0.609791816371681,1.5097469405686028,0.04447153310516768,-9.022231176412271e-05,0.00022888301515067844,0.011154037189601224,2.089693632798552,0.8730604258662057,0.9851711053729524,-11.37981807376551,0.6015750567719733,0.5153047567739657,1
SI=F,PL=F,Silver,Platinum,2256,0.646793893384465,0.418342340519435,0.6724951258668906,0.026206567344037594,0.00030177607168534464,0.0002677384284452279,0.013618134750974278,2.1878787539774223,1.61216348424968,1.439037539172918,12.030676084813292,0.3929292135471125,0.3993141197901615,2
SI=F,HG=F,Silver,Copper,2256,0.3329621627757072,0.11086380184027655,0.4271828998312622,0.03197400465209089,0.00024387192184444566,0.0003533619540770384,0.016837129305651472,2.0866379251545695,0.5251691162530041,0.5345184076118034,-1.7491055921855583,0.11012413546412292,0.09028842010267146,3
HG=F,PL=F,Copper,Platinum,2256,0.39454264064101097,0.15566389528398172,0.31974090610208433,0.018757513223823928,0.00021508629274820618,0.0002561138954517864,0.012788588289882954,2.1028324757384835,0.6234947794639653,0.5731569930381553,8.782547720299558,0.16171864117091128,0.2089876020453466,1
HG=F,SI=F,Copper,Silver,2256,0.3329621627757072,0.11086380184027644,0.2595230330710051,0.0232654959984826,0.00014597509069783123,0.00026119511653090893,0.013123481746948168,2.094042562670252,0.21110114515353004,0.20602496358572767,2.4638672321328468,0.11012413546412303,-0.04558388213958575,2
HG=F,CL=F,Copper,WTI crude,2256,0.27816409608848813,0.07737526435272568,0.12126957320466061,0.019333160211866682,0.00015528794551605403,0.0002688093712039049,0.01336833969956857,2.0378464968533994,0.1641962938877797,0.22694220130255902,-27.648408737838302,0.10128043704297174,-0.05432191737366643,3
PL=F,SI=F,Platinum,Silver,2256,0.646793893384465,0.418342340519435,0.6220749034874625,0.023543206782777843,-0.00015084966613698508,0.000259274036696714,0.013097680648410175,2.1215297504458186,0.25949126413450335,0.2730500093645559,-4.965663711789129,0.3929292135471125,0.4188813964355803,1
PL=F,GC=F,Platinum,Gold,2256,0.573683228899613,0.32911244712068577,1.066749102556091,0.042528266671252146,-0.00024370132166139614,0.00029248312162382387,0.014066483418920939,2.031720792379979,0.25732530239094226,0.3172709164034102,-18.89414091023933,0.32881902920701767,0.4365806024199608,2
PL=F,HG=F,Platinum,Copper,2256,0.39454264064101097,0.15566389528398183,0.48684385486254506,0.03134465740420784,-5.11817195199602e-05,0.0003334057974233783,0.015780412507964168,2.0290788346911968,0.2496635102828128,0.2821541796318021,-11.515218165964473,0.16171864117091128,0.1861941830661934,3
KC=F,HG=F,Coffee C,Copper,2256,0.16435652093250228,0.027013065973035877,0.24453132154811136,0.033007554673591,0.0002253031379747152,0.0004279618425283087,0.020425184364764735,1.9856216367190362,0.1779870416151473,0.18533264006653283,-3.963467227763288,0.032872675299989385,0.022175061252345696,1
KC=F,PL=F,Coffee C,Platinum,2256,0.16431142863832238,0.02699824558116637,0.19811601394514924,0.02665214190157434,0.000270294837506757,0.00042886497550988483,0.020425339920853415,2.009674687538376,0.28119532183774143,0.2468645864839276,13.906707253066848,0.028711884926171827,-0.01872748579385175,2
KC=F,CL=F,Coffee C,WTI crude,2256,0.1492631922594137,0.022279500563470722,0.0968168742175917,0.015657783018401192,0.0002189306514557143,0.00043157206725031287,0.02047480817600922,1.9862791089727059,0.09541495458333772,0.12154258500635284,-21.496688112770904,0.02780245864923736,-0.016609675408205016,3
ZC=F,ZS=F,Corn,Soybeans,2256,0.5391890641447793,0.29072484689332323,0.6828883625395087,0.03790498442180469,8.0453609356626e-05,0.0002860815140055402,0.013933751596480004,2.0406733355742506,0.24879098635233357,0.2779682122467598,-10.4966052264008,0.27018854053695496,0.33687867580944253,1
ZC=F,ZW=F,Corn,SRW wheat,2256,0.5366991706844015,0.28804599981332457,0.4340051909042606,0.0326891448257141,0.00011122536636652187,0.0002849584543735394,0.013960039851250699,1.9796398865419356,0.32567666594527517,0.2823018768228444,15.364683228673734,0.222608897179019,0.3248379036111425,2
ZC=F,CL=F,Corn,WTI crude,2256,0.1758495988082893,0.03092308140103628,0.09113557185834617,0.010305880798584945,0.00015589170504792674,0.00033837859653003296,0.016286951970356713,1.9988112191823655,0.02997043776944903,0.05189780021262583,-42.25104407766835,0.03735572587933178,-0.0684441234287334,3
ZW=F,ZC=F,SRW wheat,Corn,2256,0.5366991706844015,0.28804599981332435,0.6636925222326804,0.06813295783422556,9.816312245945177e-05,0.00036790671000064496,0.017263253914721544,1.9052957431591537,0.8844539076119328,0.7885491222529668,12.162182754697135,0.22260889717901877,0.31646730134009105,1
ZW=F,ZS=F,SRW wheat,Soybeans,2256,0.3451049324520324,0.11909741440272192,0.5405001307452031,0.04135784970942764,0.0001342285654810597,0.00040404709738115017,0.019202626442468736,1.9583173846901925,0.2624152161638868,0.2614625086778086,0.36437632718202206,0.08558162294173188,0.1576765755618048,2
ZW=F,CL=F,SRW wheat,WTI crude,2256,0.11321818209456808,0.012818356756798766,0.07256024138117524,0.022006902810825044,0.00019365506353420713,0.0004335335579329529,0.02032802689394299,1.9363030245970672,0.03179890482690334,0.08559052681071538,-62.84763511594331,0.036374387739021685,-0.008564245105928014,3
ZS=F,ZC=F,Soybeans,Corn,2256,0.5391890641447793,0.290724846893323,0.4257282197813167,0.03433199781768582,0.00010660052121237426,0.0002215780749713327,0.011001690606343024,2.0332366357855647,1.1685505618825107,0.9720123691593243,20.21972136971556,0.27018854053695485,0.32063282460559583,1
ZS=F,ZW=F,Soybeans,SRW wheat,2256,0.3451049324520324,0.11909741440272181,0.22034668934958243,0.023233110432288998,0.00014535782455844213,0.00024460427042400696,0.012260720625900794,2.025224828284288,0.45385102336574024,0.3273189084527275,38.65713579186243,0.08558162294173233,0.14497748626265738,2
ZS=F,HG=F,Soybeans,Copper,2256,0.23792127566844226,0.05660653341569888,0.2233162920663258,0.020255175760386986,0.00014602637176186963,0.0002558071254709104,0.012688155322146349,1.9941164062623062,0.14887752504398138,0.1725692256690362,-13.728809718652972,0.06006400442188231,-0.3831742348340115,3
