,log_carat,log_carat_sq,log_volume,aspect_xy,depth_c,depth_c_sq,table_c,table_c_sq,cut_score,cut_score_sq,color_score,color_score_sq,clarity_score,clarity_score_sq,carat_x_cut,carat_x_color,carat_x_clarity,table_x_cut
0.00020309176209047368,0.8933337938611314,0.024638024346540957,0.18040694191983378,0.010453569811939267,-0.005802445594231092,-0.01281207152274534,0.0008865301943099068,-0.006419238523456164,0.0342097061955946,-0.009790681135586739,0.2645055479372059,-0.13112189257341128,0.3616818790242057,-0.1554865885625493,0.0013423930346138746,0.019155838335389978,0.03386639421057636,9.764020357623292e-05
0.0002894266124716752,0.8943928143842445,0.024159807062344742,0.17767570343183375,0.01032243142072221,-0.006224108402676236,-0.013378891589725632,0.0,-0.006429711197855573,0.024605845436345055,-0.00013818373181224093,0.25988175065248537,-0.12660843067478617,0.3570723094330013,-0.15072637372113476,0.0019326875819809263,0.019203011591541922,0.03439315521077769,0.001337653344747019
0.0004124626382901352,0.8960615615233635,0.023321713786821418,0.17461515026205499,0.010153525113613004,-0.006250632884138151,-0.013387644580443944,0.0,-0.006327480936292569,0.02433289172032917,-0.0,0.25334027465978926,-0.12024844854896205,0.3502409865144164,-0.14363748175818764,0.001722913837987355,0.019121654098589003,0.03514900603370387,0.0011745417524787751
0.0005878016072274912,0.8968337440998663,0.02212968603534905,0.17180592905545727,0.009938828258031579,-0.0062549216892878404,-0.013386620498225808,0.0,-0.0061742841109662695,0.024136629632093298,-0.0,0.24401193046431205,-0.11117473926632158,0.34049601553012215,-0.13351834951117092,0.0014308271116796536,0.019028126488732262,0.03625070141061729,0.0009480741609186906
0.0008376776400682924,0.8963740488148129,0.020436255585158825,0.16929450331209864,0.009658026858358761,-0.006236208693428929,-0.013384022639871863,0.0,-0.005954239205642245,0.023854604064399366,0.0,0.23071152008562099,-0.09823282554397789,0.32660271435807264,-0.11908525953799454,0.001037293938491415,0.018919294372338313,0.03784566274186549,0.0006417259409008642
0.001193776641714437,0.8944532576783097,0.018027268553839636,0.16692586918406802,0.009278270360031714,-0.006189401184328978,-0.01337939685402759,0.0,-0.005639254250576727,0.023450796858650095,0.0,0.2117517461190915,-0.07978038935254002,0.30679869585958086,-0.09850665611589635,0.0004949009622856203,0.018784036304450025,0.04013887300089283,0.00021844595483998475
0.0017012542798525892,0.8894954943964242,0.01457321076397987,0.16546413342983737,0.00871979601663576,-0.005945565517412673,-0.013324324065759513,0.0,-0.005182076433285752,0.02311542787367975,0.0,0.18473839661089353,-0.05348612406588584,0.2785725574310921,-0.06915859407777168,0.0,0.01860249710911057,0.04337864039864498,0.0
0.002424462017082331,0.8800312491500504,0.009635633984239528,0.1651368887433389,0.007913979718767995,-0.005438198912720107,-0.013191568262250791,0.0,-0.004513996698944587,0.02291548301546263,0.0,0.1462418537368623,-0.016010489882128963,0.238332633759423,-0.02731843208477543,0.0,0.018348880397406744,0.0479150924830605,0.0
0.003455107294592222,0.8739812151428299,0.001386441415238835,0.1692511028840869,0.006757991999968755,-0.004462086964640881,-0.01268755942373495,0.0,-0.0034412493296112653,0.02262039025332761,0.0,0.12700002153769135,-0.0,0.20955500167836782,-0.0,0.0,0.012330980667882437,0.04523865997954267,0.0
0.004923882631706742,0.896303793498578,0.0,0.15314220116398017,0.004574846144957434,-0.003064810352729799,-0.011369485862004907,0.0,-0.0018783564492897513,0.02251308007790942,0.0,0.12369637726585482,-0.0,0.2050835618210022,-0.0,0.0,0.007127719251149185,0.038054755560025154,0.0
