,etf,etf,etf,etf,sp100,sp100,sp100,sp100,sp500,sp500,sp500,sp500
,sample,lw,pca,ff,sample,lw,pca,ff,sample,lw,pca,ff
2008-01-31,2.2543744686918505,1.7597295574413963,1.5666041232854253,1.0982252512812845,3.280558793671796,3.0310649349090952,2.7947381641561058,2.4674434416990745,7.890932547181176,5.338616619967791,3.503093656350183,3.0047381164637383
2008-02-29,2.278246769595457,1.7919585421222035,2.4086590467871147,1.1141627658201823,3.3167776165307585,3.0857195888422035,2.7910110154300334,2.4479486935165897,7.483642340095397,5.285781897718666,3.558650418446848,2.9968070001183085
2008-03-31,2.2180653925987635,1.7449228826388674,2.305271883424525,1.1134071490066204,3.3973734869460936,3.13407859984427,2.7666069928076196,2.3954984193621707,7.477330994974727,5.226467252557137,3.518965827244248,2.947296439556979
2008-04-30,2.182398431089231,1.6073396034913747,1.8559217138713067,1.1225574556105473,3.348920292038151,3.1073049777180017,2.7673270243570345,2.370588812353563,7.59894287924198,5.31609470192745,3.4881386443373463,2.9205015822320037
2008-05-30,2.1953441876768895,1.6174877393006963,1.7880947226238053,1.1207177933564012,3.2494432952037604,3.0087033961136114,2.744850392523574,2.3570635429708378,7.386801729209342,5.281226770137433,3.473360482349011,2.9075270498266494
2008-06-30,2.1227392310721047,1.6367807476330787,1.4322499442511984,1.1030605369629967,3.34927395391291,3.160891012799052,2.7864339920882175,2.435281528824716,7.622500696525954,5.378101336606034,3.539093664835016,2.9500923821204763
2008-07-31,2.104633015817522,1.6171252341657574,1.3644138204177243,1.0851879179246997,3.2850878338171188,3.0220336005595785,2.769333694413956,2.312572694545538,7.425925502500691,5.1514181328462945,3.4845592666645544,2.86763894752788
2008-08-29,2.1005048345428574,1.6012692758070688,1.3935281166913427,1.0827849279197224,3.446885884398862,3.1706455382237726,2.8129262707113676,2.3382945266046073,7.616129936970646,5.362924326872111,3.53532516725976,2.9281339941197357
2008-09-30,2.091582049929166,1.3066039510140857,1.1275871391747496,1.063434179856823,3.466036414923095,3.00189470196074,2.684955253040019,2.328920016622711,7.7601945605585545,4.964980439388933,3.4310470006528853,2.9032537205720264
2008-10-31,2.1867430980022378,1.3537709821046906,1.1900769062348686,1.0902427610143541,4.1448044765589165,3.5942418992582392,3.402792904537359,2.9367168345016754,8.736866835218384,5.064395988566891,3.799132725337964,3.4071224672378677
2008-11-28,2.177363096605235,1.4128575004603299,1.2073537553920148,1.0905086726277782,4.568683817713874,3.8484555694548983,3.524517932724376,3.012942762021911,8.879706364543512,5.363009116597334,3.9224471025597065,3.4424989623409985
2008-12-31,2.1421874308167554,1.4243563983737415,1.2042267781277356,1.0882898865860964,4.376544528986404,3.8234861624383463,3.4250034415599435,2.9524741014352296,9.142667981056196,5.480594054418043,3.973285080922677,3.454276521469364
2009-01-30,2.132358184076292,1.4461905951531207,1.1772862367776453,1.0808141136900238,4.458198431545863,3.8069647217248868,3.513839397362827,2.895752918183699,9.753190906820782,5.851679684172961,4.088237466150275,3.475108796756868
2009-02-27,2.0468936605770587,1.3782189550390593,1.1872991022241361,1.04552087029612,4.436144261909921,3.825507282705476,3.500479872886474,2.881208906435941,9.920573844161664,5.9218882327848625,4.082399076726715,3.477297823198888
2009-03-31,2.009220653583748,1.3979551222617008,1.5669931829588712,1.0356299798075628,4.330793690384886,3.739794121136069,3.469754830474042,2.8911265013745338,9.5837181961153,5.9994599213313595,4.12370219755312,3.473534952537112
2009-04-30,2.0138719514843237,1.41898277412481,1.2177873396643477,1.0354934327571024,4.394024055860652,3.749737244186055,3.441232218071345,2.9157149434926986,9.573481991564417,6.191937730735486,4.141659435764901,3.472815050115644
2009-05-29,2.0725495844323065,1.488097361873482,1.2306564966784164,1.0362875581195508,4.157333360822772,3.594986581390535,3.443469113576258,2.900431109549115,9.632656856303267,6.299763798368277,4.135550889623808,3.4708749600297297
2009-06-30,2.0986848842390065,1.5251063594077316,1.2393573116108934,1.0375869427745104,4.1315954104699,3.625753114802256,3.4074798538541873,2.9046183807405415,9.420754605880784,6.303533541805119,4.15208816203768,3.4924205134831183
2009-07-31,2.1205289221921957,1.5622097268285249,1.2416290905839222,1.039019105762173,4.146038030439749,3.639560137557294,3.3704289310896423,2.8555699573737434,9.800879967768964,6.2212106357501655,4.133806759061926,3.464594592025107
2009-08-31,2.14150531746391,1.581076795936533,1.2451474847318489,1.0428987448051554,4.143376299912117,3.6449169196609787,3.349820465285631,2.8712435795502156,9.594014129288844,6.132775394028494,4.116365038462431,3.436324421249793
2009-09-30,2.153301033842578,1.5994684666164187,1.249997632348317,1.0423217738253918,4.04561781578221,3.588796800344502,3.292296445927215,2.8410356378144725,9.428933128211733,5.979973720499249,4.114383158905118,3.4156811497510495
2009-10-30,2.165795144366162,1.6175846305659458,1.255360354866496,1.0420654010086317,4.072882132845541,3.640032760581565,3.3210711895897065,2.810997470573961,9.801880964224296,6.11710109132467,4.127438128214226,3.3919355426659106
2009-11-30,2.1799404197977874,1.6237141181239152,1.2631643437680689,1.045914965094582,4.272535225780273,3.681035857084365,3.294039072738707,2.7895072228835565,9.756432818078844,6.1148183029034,4.126100219458266,3.369993240996523
2009-12-31,2.1657064697068797,1.5987116394747243,1.2632493102847981,1.049136137657825,4.227060087366999,3.6278662331524902,3.2827817352745456,2.782172156435387,9.203799146011256,6.054661283880259,4.1042732997739835,3.3647314350213415
2010-01-29,2.1973145879383367,1.6193730030921485,1.8481085864510958,1.052413053334202,4.189499520357518,3.586684342286351,3.3008029091610975,2.7545496161817162,9.339694565027257,5.951455169134518,4.072207813445345,3.32415631096025
2010-02-26,2.1934151576166445,1.6135287767753401,1.2638345214103583,1.0537748185343798,4.199054851999137,3.6137183123466876,3.311018035151963,2.7532225675616604,9.580893067122677,6.046410474721473,4.083340753692378,3.3274528095954112
2010-03-31,2.1939206630356023,1.6005151680672713,1.2758036565753568,1.0568877935417138,4.245116643849177,3.557310288635986,3.3203691346359476,2.7548903271046865,9.741721675528595,5.915824908208373,4.062487538437384,3.3239279449049977
2010-04-30,2.199842070048311,1.6038986424870412,1.274685707989592,1.0579904754640366,4.2174421318831845,3.524064672507586,3.3356400632539582,2.759587848057427,9.802756324080898,5.893179930001729,4.065941820171549,3.307663790784079
2010-05-28,2.1894491217762555,1.6124856765720126,1.2638650788085444,1.0570314785146542,4.13861941946796,3.5325426654481653,3.3849174703489373,2.804175217841462,10.202386073034468,6.081578967634155,4.135255550313953,3.3136035124008707
2010-06-30,2.1758667741125186,1.6176953431971075,1.254464255539011,1.0638906268016557,4.060549206640428,3.5069211254782684,3.3547890980815054,2.768101387451542,9.975726896821769,6.056140926940181,4.0579788763231575,3.2528881456184453
2010-07-30,2.1635507234940423,1.621850900026587,1.2564844820830754,1.0604398461398337,4.068982749060347,3.5450669471856537,3.384599375701458,2.814263669865402,11.022940426232482,6.059648288384907,4.081427546149884,3.318435207239034
2010-08-31,2.157354217448665,1.6408166262871307,1.2617059058968672,1.0663147576818404,4.115617409679735,3.6074907035629935,3.3502495113338924,2.80330107046602,11.006485747658882,5.976681067513907,4.063141105799618,3.3204719278317065
2010-09-30,2.168268958395148,1.6810216986662512,1.285376074381228,1.0726473169367796,4.16405601504395,3.6046035167780954,3.2999305956983878,2.792367461308358,9.665839730728663,5.76629442687993,4.128239572620684,3.3347357714207533
2010-10-29,2.2253201836152505,1.8829799641754217,1.3294700025493718,1.0653643539074749,3.6909888479879602,3.1809775518769317,3.011616224725317,2.5312876457757874,9.696714642916675,5.407629875061394,3.769383402692012,3.056586406229452
2010-11-30,2.183249123540758,1.9099058062317993,1.3450423227285266,1.0926356353258388,3.2689150942767915,2.8509213611536555,2.800949795913873,2.3466424405119297,9.02761285245625,5.238223259214934,3.8109137647471303,3.0116940263809435
2010-12-31,2.2258924538965226,1.9860524848858763,1.3729314633452046,1.1032262132327972,3.108118283900293,2.7314063657551544,2.7302447115982638,2.2992615943564143,9.717020606678908,5.265660238353845,3.7254546163141264,2.949745407699475
2011-01-31,2.2736573883019693,2.0189107316896004,1.3886920593460284,1.1032755416350857,3.034825433099542,2.6993336017985325,2.733006480893196,2.343545290142128,9.700691485106422,5.141422222653122,3.673945015683782,2.8994803047064437
2011-02-28,2.273816513611337,2.02762931516399,1.4031951443397293,1.1092785206803981,2.910890475833372,2.6205681802741414,2.6869344643371407,2.255744421253274,8.903899607067402,5.056077333467961,3.6909694104669177,2.8464595811010183
2011-03-31,2.2295460987961455,2.0216817872933643,1.372003116393229,1.124511650631816,2.8406871447744706,2.6210787142303973,2.688284870711981,2.2849669812149633,9.44994963051877,4.974400953849565,3.829337979748516,2.8861461877819945
2011-04-29,2.2349539627225203,2.030802672493204,1.3782482510398752,1.1354165041391961,2.9694225744906295,2.8028986818534527,2.8332043098658732,2.299857545782273,9.13215215755007,4.8383907427904225,3.8993951767264923,2.9168171742323796
2011-05-31,2.1631816010893496,1.9287791783552062,1.3527399369538968,1.1185879037487976,2.8830779740326484,2.71984637570172,2.7820569724522164,2.26853244335866,9.414148135309137,4.6656518972971295,3.862413674162176,2.9278649553079727
2011-06-30,2.097744922617073,1.869612465208789,1.341049495972269,1.120508391375933,2.9461931108073736,2.789251450780143,2.715482319334572,2.2487870952143267,9.942136866275348,3.5280534226060953,3.886672991248131,2.994562209420642
2011-07-29,2.140833232707258,1.8738863351139081,1.3437329887080134,1.121791830841015,3.0281837168436554,2.8717678192773914,2.721327629792538,2.2366081569877787,10.488131992302254,3.454528648408014,3.925507548311333,3.0034348858013757
2011-08-31,2.1468462533644774,1.8158659630748408,1.3075225154133097,1.155933890550005,3.1899294415006696,2.992823770991719,2.960069220521746,2.4750482115828163,10.831476536320679,3.8270197638399477,4.224823734962603,3.396837275984188
2011-09-30,2.008140103592325,1.7198648173423747,1.274531369512179,1.1643745107208536,3.4282397683348442,3.1928678528671437,3.026200201033453,2.618753333032615,11.434329821811103,3.9422990946169216,4.274848366016272,3.451451555819034
2011-10-31,1.9884516005592916,1.685295666683598,1.2488611258028075,1.179851727083622,3.4317463321684136,3.2079587219229713,3.0900249676956784,2.5851335371957647,11.103159725324023,4.000523810062031,4.275153353815968,3.3673111445088812
2011-11-30,1.9747050343446548,1.6713506000971712,1.2473938493052914,1.187845324953737,3.4564663088780887,3.253455195734176,3.164712077918776,2.660376447426752,11.693517991637481,4.058061864921928,4.357499004561262,3.4247000565955075
2011-12-30,1.9454711923522932,1.6559105259354556,1.2264027887309445,1.1727443448134387,3.597735793414072,3.374197928476781,3.15579636745443,2.620780498287208,11.206324284782145,4.240543127845809,4.352274681766764,3.402857185151698
2012-01-31,1.925578160393984,1.635413983509072,1.2254245678906623,1.1747202804332593,3.438106384068076,3.237146731538827,3.1979782824816088,2.6321698282908104,11.699383039692016,7.586770267166206,4.305451972795184,3.397826487148059
