ts,return
2026-05-10,-0.010070798176110785
2026-05-11,-0.006790036980252823
2026-05-12,-0.0033134317035264926
2026-05-13,-0.010091032770141561
2026-05-14,-0.0034427675481865094
2026-05-15,-0.003413445071672072
2026-05-16,-0.010126792569801979
2026-05-17,-0.004943887515821199
2026-05-18,-0.004911934181245248
2026-05-19,0.0
2026-05-20,0.0
2026-05-21,-0.0033515278998140774
2026-05-22,-0.003391541753163807
2026-05-23,-0.006809936059484101
2026-05-24,-0.0032126303959912894
2026-05-25,-0.006894930298298019
2026-05-26,-0.006949294799541317
2026-05-27,0.0
2026-05-28,-0.003283705650075186
2026-05-29,0.0
2026-05-30,0.0
2026-05-31,-0.003346886829376672
2026-06-01,-0.0031554412120967656
2026-06-02,-0.010225688144754996
2026-06-03,-0.003393275193826817
2026-06-04,-0.0035194430261383802
2026-06-05,-0.022995221227433804
2026-06-06,-0.003156502702176156
2026-06-07,-0.008245879190139083
2026-06-08,-0.0017521748938980064
2026-06-09,-0.006731316115365038
2026-06-10,0.0
2026-06-11,-0.006754715228724173
2026-06-12,-0.013270231636519192
2026-06-13,-0.003265488907665981
2026-06-14,-0.006813383744519341
2026-06-15,0.0
2026-06-16,-0.0033921187127264885
2026-06-17,-0.006622889155970535
2026-06-18,-0.0035112654972047075
2026-06-19,0.0
2026-06-20,0.0
2026-06-21,-0.006887122475699781
2026-06-22,-0.006906499323720228
2026-06-23,-0.01313214808740426
2026-06-24,-0.007043009394132493
2026-06-25,-0.0028782762106182025
2026-06-26,0.0
2026-06-27,-0.0034857280315830907
2026-06-28,-0.0033559771349008782
2026-06-29,-0.0032715080111144212
2026-06-30,0.0
2026-07-01,-0.0064196582907153354
2026-07-02,0.0
2026-07-03,0.0
2026-07-04,0.0
2026-07-05,-0.0031367359219467428
2026-07-06,-0.0033612931694031456
2026-07-07,-0.0032437763135105824
2026-07-08,-0.010196351422229633
2026-07-09,-0.006914829179739401
2026-07-10,-0.006526879312092726
2026-07-11,0.0
2026-07-12,-0.01008110476680546
2026-07-13,-0.013375019732299154
2026-07-14,0.0
2026-07-15,-0.006859268178651234
2026-07-16,0.0
2026-07-17,-0.003341395516668788
2026-07-18,-0.006633717078304513
2026-07-19,-0.00339598222559534
2026-07-20,0.0
2026-07-21,-0.00669487245291045
2026-07-22,-0.01007380504800437
2026-07-23,-0.006743135333755701
2026-07-24,-0.003432687805048129
2026-07-25,-0.016753271031854644
2026-07-26,0.0
2026-07-27,-0.006632600958392909
2026-07-28,0.0
2026-07-29,0.0
2026-07-30,0.0
2026-07-31,-0.00644631561409148
2026-08-01,0.0
